,2NE1_zh.wikipedia.org_all-access_spider,2PM_zh.wikipedia.org_all-access_spider,3C_zh.wikipedia.org_all-access_spider,4minute_zh.wikipedia.org_all-access_spider,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,5566_zh.wikipedia.org_all-access_spider,91Days_zh.wikipedia.org_all-access_spider,A'N'D_zh.wikipedia.org_all-access_spider,AKB48_zh.wikipedia.org_all-access_spider,ASCII_zh.wikipedia.org_all-access_spider
2016-05-23,10.0,10.0,9.0,23.0,5.0,16.0,,52.0,29.0,32.0
2016-05-24,21.0,14.0,4.0,17.0,5.0,8.0,,14.0,33.0,22.0
2016-05-25,20.0,18.0,5.0,6.0,8.0,21.0,,19.0,19.0,30.0
2016-05-26,19.0,9.0,7.0,14.0,8.0,14.0,,5.0,35.0,23.0
2016-05-27,14.0,16.0,1.0,13.0,6.0,22.0,,11.0,21.0,35.0
2016-05-28,12.0,17.0,5.0,13.0,3.0,5.0,,15.0,46.0,21.0
2016-05-29,15.0,6.0,1.0,9.0,7.0,10.0,,27.0,34.0,22.0
2016-05-30,17.0,15.0,5.0,11.0,7.0,9.0,,11.0,30.0,33.0
2016-05-31,16.0,18.0,4.0,35.0,6.0,15.0,,38.0,26.0,27.0
2016-06-01,21.0,10.0,5.0,8.0,6.0,19.0,,23.0,28.0,17.0
2016-06-02,27.0,11.0,7.0,12.0,2.0,14.0,,188.0,28.0,26.0
2016-06-03,13.0,16.0,7.0,15.0,8.0,8.0,,27.0,17.0,20.0
2016-06-04,11.0,10.0,5.0,10.0,3.0,34.0,,141.0,34.0,25.0
2016-06-05,15.0,12.0,3.0,25.0,7.0,9.0,,52.0,45.0,22.0
2016-06-06,14.0,12.0,4.0,9.0,8.0,10.0,,40.0,37.0,38.0
2016-06-07,18.0,13.0,1.0,8.0,3.0,11.0,,62.0,23.0,19.0
2016-06-08,18.0,9.0,9.0,8.0,4.0,17.0,,12.0,27.0,27.0
2016-06-09,10.0,16.0,3.0,10.0,5.0,18.0,,13.0,71.0,31.0
2016-06-10,11.0,19.0,4.0,14.0,2.0,27.0,,148.0,203.0,29.0
2016-06-11,14.0,19.0,6.0,9.0,1.0,15.0,,133.0,47.0,15.0
2016-06-12,18.0,11.0,2.0,11.0,1.0,16.0,,26.0,32.0,31.0
2016-06-13,14.0,15.0,2.0,303.0,1.0,28.0,,9.0,44.0,26.0
2016-06-14,13.0,10.0,1.0,29.0,2.0,13.0,,17.0,45.0,25.0
2016-06-15,17.0,20.0,16.0,121.0,8.0,31.0,,42.0,41.0,38.0
2016-06-16,15.0,25.0,6.0,69.0,6.0,24.0,,50.0,29.0,22.0
2016-06-17,14.0,9.0,3.0,39.0,1.0,19.0,,45.0,37.0,21.0
2016-06-18,234.0,14.0,3.0,25.0,0.0,8.0,,33.0,84.0,27.0
2016-06-19,8.0,10.0,6.0,27.0,4.0,9.0,,34.0,58.0,25.0
2016-06-20,62.0,14.0,1.0,54.0,2.0,12.0,,27.0,33.0,38.0
2016-06-21,26.0,18.0,6.0,39.0,6.0,19.0,,19.0,59.0,35.0
2016-06-22,22.0,25.0,1.0,24.0,2.0,11.0,,14.0,52.0,34.0
2016-06-23,8.0,13.0,4.0,22.0,2.0,11.0,,12.0,47.0,24.0
2016-06-24,22.0,24.0,3.0,20.0,2.0,23.0,,16.0,31.0,29.0
2016-06-25,15.0,14.0,5.0,14.0,1.0,17.0,,94.0,34.0,35.0
2016-06-26,69.0,13.0,1.0,12.0,5.0,13.0,,61.0,42.0,27.0
2016-06-27,11.0,14.0,6.0,8.0,2.0,12.0,,23.0,28.0,21.0
2016-06-28,18.0,24.0,5.0,17.0,2.0,12.0,,37.0,40.0,31.0
2016-06-29,23.0,16.0,1.0,11.0,2.0,16.0,,15.0,40.0,21.0
2016-06-30,12.0,15.0,4.0,15.0,3.0,9.0,61.0,35.0,35.0,30.0
2016-07-01,20.0,13.0,5.0,19.0,10.0,4.0,5.0,33.0,33.0,26.0
2016-07-02,17.0,11.0,4.0,20.0,1.0,7.0,18.0,128.0,108.0,21.0
2016-07-03,15.0,12.0,2.0,11.0,3.0,14.0,26.0,11.0,27.0,21.0
2016-07-04,16.0,28.0,4.0,36.0,4.0,8.0,3.0,26.0,50.0,29.0
2016-07-05,18.0,28.0,3.0,19.0,2.0,9.0,10.0,21.0,43.0,35.0
2016-07-06,21.0,17.0,4.0,35.0,3.0,9.0,5.0,44.0,56.0,27.0
2016-07-07,15.0,27.0,2.0,22.0,4.0,17.0,2.0,27.0,35.0,22.0
2016-07-08,30.0,48.0,0.0,14.0,1.0,22.0,16.0,16.0,35.0,19.0
2016-07-09,115.0,184.0,1.0,17.0,1.0,11.0,40.0,14.0,29.0,22.0
2016-07-10,56.0,64.0,3.0,15.0,9.0,20.0,57.0,37.0,33.0,37.0
2016-07-11,45.0,24.0,12.0,12.0,0.0,11.0,86.0,75.0,37.0,30.0
2016-07-12,17.0,92.0,4.0,34.0,1.0,15.0,8.0,39.0,70.0,22.0
2016-07-13,18.0,31.0,7.0,20.0,6.0,10.0,9.0,42.0,48.0,41.0
2016-07-14,15.0,34.0,5.0,25.0,2.0,15.0,9.0,34.0,34.0,27.0
2016-07-15,18.0,49.0,6.0,15.0,5.0,7.0,3.0,63.0,48.0,23.0
2016-07-16,14.0,21.0,6.0,18.0,2.0,15.0,22.0,68.0,28.0,27.0
2016-07-17,15.0,36.0,6.0,19.0,2.0,12.0,38.0,114.0,35.0,19.0
2016-07-18,15.0,32.0,3.0,13.0,3.0,14.0,18.0,194.0,27.0,37.0
2016-07-19,24.0,16.0,3.0,17.0,2.0,8.0,10.0,229.0,48.0,28.0
2016-07-20,22.0,16.0,3.0,16.0,11.0,11.0,18.0,153.0,40.0,36.0
2016-07-21,18.0,19.0,5.0,11.0,1.0,14.0,14.0,44.0,37.0,37.0
2016-07-22,30.0,22.0,5.0,22.0,4.0,10.0,9.0,192.0,41.0,35.0
2016-07-23,12.0,22.0,2.0,43.0,4.0,26.0,11.0,55.0,26.0,35.0
2016-07-24,13.0,19.0,11.0,8.0,2.0,28.0,12.0,54.0,42.0,29.0
2016-07-25,18.0,18.0,6.0,13.0,10.0,19.0,6.0,102.0,24.0,33.0
2016-07-26,17.0,18.0,2.0,16.0,5.0,16.0,10.0,81.0,25.0,39.0
2016-07-27,31.0,17.0,2.0,8.0,3.0,12.0,59.0,91.0,42.0,31.0
2016-07-28,26.0,35.0,3.0,19.0,10.0,7.0,15.0,76.0,56.0,28.0
2016-07-29,29.0,49.0,7.0,14.0,2.0,20.0,9.0,37.0,28.0,33.0
2016-07-30,12.0,19.0,5.0,9.0,5.0,13.0,86.0,52.0,41.0,32.0
2016-07-31,19.0,25.0,4.0,13.0,7.0,10.0,10.0,136.0,54.0,27.0
2016-08-01,19.0,24.0,5.0,13.0,2.0,18.0,121.0,9.0,58.0,16.0
2016-08-02,57.0,39.0,3.0,16.0,5.0,12.0,26.0,88.0,40.0,28.0
2016-08-03,17.0,19.0,3.0,10.0,8.0,26.0,12.0,113.0,31.0,24.0
2016-08-04,20.0,29.0,9.0,10.0,2.0,12.0,8.0,123.0,34.0,30.0
2016-08-05,49.0,30.0,7.0,11.0,5.0,12.0,11.0,176.0,21.0,30.0
2016-08-06,10.0,16.0,2.0,17.0,1.0,13.0,76.0,520.0,47.0,17.0
2016-08-07,19.0,54.0,1.0,32.0,1.0,14.0,50.0,123.0,29.0,30.0
2016-08-08,26.0,15.0,5.0,21.0,2.0,29.0,23.0,93.0,44.0,20.0
2016-08-09,41.0,39.0,6.0,16.0,6.0,15.0,7.0,43.0,65.0,27.0
2016-08-10,23.0,19.0,7.0,23.0,6.0,18.0,11.0,37.0,28.0,26.0
2016-08-11,30.0,17.0,13.0,15.0,2.0,48.0,14.0,137.0,35.0,30.0
2016-08-12,55.0,60.0,3.0,55.0,1.0,14.0,11.0,35.0,22.0,27.0
2016-08-13,17.0,12.0,5.0,17.0,3.0,21.0,54.0,64.0,37.0,31.0
2016-08-14,24.0,77.0,6.0,17.0,2.0,14.0,30.0,59.0,43.0,19.0
2016-08-15,14.0,63.0,2.0,15.0,3.0,20.0,37.0,87.0,34.0,21.0
2016-08-16,12.0,12.0,4.0,7.0,4.0,8.0,6.0,84.0,18.0,19.0
2016-08-17,49.0,9.0,1.0,13.0,3.0,10.0,9.0,67.0,24.0,30.0
2016-08-18,42.0,34.0,2.0,11.0,2.0,21.0,19.0,138.0,33.0,18.0
2016-08-19,37.0,30.0,7.0,11.0,0.0,19.0,15.0,156.0,27.0,20.0
2016-08-20,13.0,13.0,2.0,8.0,13.0,7.0,23.0,62.0,38.0,19.0
2016-08-21,30.0,20.0,2.0,22.0,4.0,10.0,97.0,200.0,18.0,25.0
2016-08-22,20.0,29.0,4.0,5.0,2.0,18.0,11.0,73.0,27.0,47.0
2016-08-23,33.0,10.0,4.0,7.0,4.0,11.0,26.0,110.0,28.0,28.0
2016-08-24,20.0,14.0,2.0,18.0,3.0,18.0,9.0,135.0,60.0,32.0
2016-08-25,14.0,23.0,5.0,9.0,3.0,15.0,10.0,145.0,31.0,32.0
2016-08-26,40.0,15.0,3.0,13.0,1.0,12.0,21.0,151.0,40.0,21.0
2016-08-27,15.0,12.0,2.0,27.0,3.0,10.0,30.0,87.0,30.0,37.0
2016-08-28,18.0,25.0,3.0,15.0,5.0,8.0,38.0,66.0,36.0,17.0
2016-08-29,26.0,22.0,5.0,19.0,2.0,12.0,8.0,92.0,35.0,26.0
2016-08-30,8.0,144.0,4.0,7.0,3.0,15.0,11.0,85.0,21.0,26.0
2016-08-31,25.0,31.0,2.0,9.0,2.0,9.0,14.0,77.0,27.0,23.0
2016-09-01,21.0,31.0,5.0,14.0,4.0,19.0,11.0,87.0,26.0,32.0
2016-09-02,20.0,17.0,7.0,14.0,3.0,19.0,32.0,91.0,29.0,23.0
2016-09-03,25.0,66.0,5.0,9.0,39.0,16.0,54.0,23.0,22.0,14.0
2016-09-04,19.0,78.0,2.0,16.0,4.0,13.0,65.0,48.0,35.0,22.0
2016-09-05,23.0,19.0,7.0,11.0,3.0,17.0,22.0,87.0,22.0,24.0
2016-09-06,18.0,44.0,6.0,7.0,1.0,16.0,28.0,37.0,31.0,28.0
2016-09-07,19.0,43.0,11.0,14.0,5.0,17.0,21.0,35.0,24.0,21.0
2016-09-08,18.0,35.0,10.0,13.0,5.0,16.0,12.0,53.0,34.0,28.0
2016-09-09,55.0,13.0,5.0,11.0,5.0,44.0,12.0,56.0,15.0,19.0
2016-09-10,16.0,13.0,19.0,9.0,5.0,16.0,15.0,49.0,47.0,25.0
2016-09-11,65.0,25.0,7.0,9.0,8.0,19.0,18.0,35.0,45.0,29.0
2016-09-12,11.0,15.0,11.0,9.0,15.0,6.0,4.0,66.0,27.0,12.0
2016-09-13,11.0,37.0,4.0,11.0,13.0,11.0,7.0,44.0,36.0,28.0
2016-09-14,13.0,38.0,10.0,15.0,63.0,23.0,10.0,43.0,27.0,31.0
2016-09-15,20.0,22.0,3.0,28.0,2.0,30.0,30.0,64.0,29.0,32.0
2016-09-16,21.0,28.0,4.0,10.0,2.0,13.0,16.0,193.0,32.0,25.0
2016-09-17,13.0,19.0,6.0,24.0,3.0,14.0,45.0,43.0,32.0,18.0
2016-09-18,24.0,46.0,3.0,8.0,6.0,17.0,30.0,147.0,33.0,39.0
2016-09-19,20.0,24.0,4.0,20.0,10.0,15.0,15.0,75.0,30.0,25.0
2016-09-20,13.0,22.0,8.0,19.0,2.0,15.0,33.0,66.0,27.0,15.0
2016-09-21,32.0,43.0,10.0,12.0,8.0,15.0,12.0,27.0,29.0,27.0
2016-09-22,16.0,58.0,3.0,31.0,4.0,18.0,4.0,18.0,34.0,23.0
2016-09-23,10.0,26.0,3.0,14.0,3.0,15.0,6.0,120.0,31.0,37.0
2016-09-24,13.0,20.0,1.0,9.0,3.0,22.0,18.0,29.0,27.0,28.0
2016-09-25,44.0,27.0,10.0,40.0,6.0,19.0,10.0,25.0,28.0,23.0
2016-09-26,17.0,35.0,5.0,15.0,4.0,18.0,43.0,64.0,25.0,22.0
2016-09-27,13.0,20.0,4.0,83.0,1.0,15.0,10.0,65.0,24.0,41.0
2016-09-28,72.0,31.0,4.0,60.0,5.0,19.0,52.0,90.0,34.0,23.0
2016-09-29,40.0,24.0,3.0,19.0,9.0,15.0,28.0,44.0,34.0,25.0
2016-09-30,19.0,24.0,4.0,15.0,1.0,20.0,30.0,70.0,28.0,25.0
2016-10-01,14.0,94.0,1.0,15.0,6.0,27.0,83.0,29.0,50.0,25.0
2016-10-02,13.0,18.0,3.0,12.0,4.0,15.0,46.0,64.0,23.0,30.0
2016-10-03,12.0,20.0,6.0,23.0,0.0,59.0,20.0,62.0,47.0,20.0
2016-10-04,14.0,18.0,6.0,17.0,4.0,28.0,10.0,33.0,24.0,17.0
2016-10-05,10.0,16.0,6.0,20.0,9.0,15.0,11.0,27.0,37.0,25.0
2016-10-06,26.0,38.0,3.0,26.0,6.0,18.0,28.0,42.0,19.0,29.0
2016-10-07,13.0,54.0,5.0,11.0,8.0,16.0,10.0,68.0,19.0,19.0
2016-10-08,22.0,29.0,11.0,13.0,13.0,78.0,27.0,20.0,28.0,18.0
2016-10-09,14.0,49.0,6.0,9.0,4.0,97.0,7.0,85.0,42.0,19.0
2016-10-10,23.0,25.0,3.0,44.0,7.0,35.0,10.0,56.0,40.0,25.0
2016-10-11,12.0,72.0,7.0,7.0,6.0,40.0,18.0,58.0,29.0,20.0
2016-10-12,8.0,144.0,6.0,18.0,9.0,97.0,12.0,21.0,29.0,32.0
2016-10-13,50.0,36.0,0.0,4.0,3.0,49.0,12.0,104.0,45.0,31.0
2016-10-14,13.0,97.0,2.0,36.0,21.0,24.0,11.0,54.0,24.0,30.0
2016-10-15,10.0,179.0,4.0,34.0,6.0,29.0,21.0,78.0,24.0,20.0
2016-10-16,16.0,29.0,4.0,10.0,13.0,42.0,40.0,113.0,29.0,22.0
2016-10-17,14.0,12.0,3.0,8.0,10.0,30.0,13.0,41.0,49.0,40.0
2016-10-18,10.0,21.0,6.0,21.0,2.0,30.0,14.0,48.0,23.0,27.0
2016-10-19,24.0,42.0,4.0,7.0,3.0,38.0,11.0,31.0,32.0,20.0
2016-10-20,10.0,53.0,3.0,6.0,6.0,25.0,8.0,21.0,17.0,23.0
2016-10-21,20.0,41.0,4.0,12.0,7.0,18.0,12.0,56.0,26.0,28.0
2016-10-22,10.0,19.0,1.0,15.0,10.0,27.0,13.0,52.0,30.0,22.0
2016-10-23,26.0,25.0,6.0,9.0,6.0,27.0,8.0,89.0,19.0,25.0
2016-10-24,25.0,19.0,5.0,13.0,6.0,32.0,47.0,83.0,35.0,28.0
2016-10-25,16.0,15.0,5.0,21.0,4.0,27.0,32.0,44.0,44.0,13.0
2016-10-26,19.0,21.0,2.0,13.0,173.0,25.0,96.0,80.0,30.0,26.0
2016-10-27,20.0,21.0,3.0,10.0,5.0,15.0,9.0,53.0,40.0,17.0
2016-10-28,12.0,27.0,3.0,21.0,10.0,15.0,14.0,38.0,23.0,18.0
2016-10-29,19.0,33.0,2.0,15.0,10.0,19.0,17.0,102.0,26.0,22.0
2016-10-30,50.0,15.0,2.0,103.0,18.0,102.0,42.0,54.0,43.0,21.0
2016-10-31,16.0,24.0,6.0,22.0,20.0,23.0,17.0,41.0,42.0,27.0
2016-11-01,30.0,13.0,1.0,15.0,11.0,26.0,7.0,77.0,19.0,23.0
2016-11-02,18.0,11.0,3.0,12.0,5.0,21.0,20.0,73.0,29.0,31.0
2016-11-03,25.0,14.0,3.0,11.0,6.0,25.0,12.0,21.0,24.0,20.0
2016-11-04,14.0,26.0,3.0,15.0,33.0,53.0,10.0,77.0,72.0,21.0
2016-11-05,20.0,11.0,2.0,7.0,13.0,13.0,5.0,107.0,35.0,21.0
2016-11-06,8.0,21.0,10.0,12.0,10.0,22.0,87.0,185.0,27.0,33.0
2016-11-07,67.0,14.0,2.0,13.0,22.0,33.0,26.0,33.0,89.0,39.0
2016-11-08,13.0,14.0,2.0,9.0,11.0,19.0,46.0,150.0,52.0,37.0
2016-11-09,41.0,54.0,2.0,8.0,8.0,18.0,11.0,42.0,30.0,35.0
2016-11-10,10.0,5.0,7.0,21.0,4.0,21.0,9.0,80.0,25.0,22.0
2016-11-11,21.0,10.0,3.0,16.0,10.0,24.0,7.0,70.0,60.0,13.0
2016-11-12,13.0,12.0,6.0,38.0,13.0,22.0,11.0,81.0,25.0,32.0
2016-11-13,8.0,11.0,4.0,13.0,11.0,21.0,7.0,59.0,63.0,20.0
2016-11-14,15.0,14.0,2.0,14.0,8.0,18.0,8.0,19.0,32.0,20.0
2016-11-15,14.0,28.0,4.0,17.0,6.0,30.0,14.0,55.0,44.0,37.0
2016-11-16,12.0,23.0,6.0,26.0,10.0,20.0,9.0,48.0,25.0,19.0
2016-11-17,6.0,20.0,5.0,14.0,14.0,12.0,8.0,44.0,27.0,27.0
2016-11-18,11.0,9.0,4.0,10.0,6.0,17.0,3.0,21.0,23.0,22.0
2016-11-19,10.0,12.0,4.0,9.0,9.0,12.0,7.0,58.0,34.0,11.0
2016-11-20,42.0,11.0,3.0,23.0,6.0,122.0,7.0,141.0,90.0,17.0
2016-11-21,21.0,14.0,3.0,15.0,16.0,31.0,8.0,115.0,82.0,14.0
2016-11-22,24.0,14.0,9.0,7.0,14.0,16.0,10.0,30.0,30.0,37.0
2016-11-23,14.0,15.0,3.0,10.0,13.0,15.0,6.0,74.0,33.0,20.0
2016-11-24,11.0,15.0,5.0,7.0,15.0,16.0,10.0,11.0,28.0,25.0
2016-11-25,204.0,11.0,4.0,10.0,14.0,23.0,9.0,49.0,25.0,28.0
2016-11-26,14.0,20.0,0.0,14.0,16.0,30.0,6.0,28.0,30.0,27.0
2016-11-27,45.0,13.0,1.0,17.0,9.0,12.0,15.0,62.0,40.0,20.0
2016-11-28,33.0,19.0,4.0,11.0,178.0,6.0,7.0,28.0,20.0,50.0
2016-11-29,28.0,621.0,5.0,9.0,64.0,17.0,8.0,30.0,65.0,29.0
2016-11-30,18.0,57.0,8.0,11.0,12.0,17.0,9.0,32.0,45.0,23.0
2016-12-01,14.0,17.0,8.0,5.0,10.0,18.0,6.0,59.0,26.0,34.0
2016-12-02,47.0,23.0,1.0,10.0,11.0,15.0,6.0,17.0,18.0,34.0
2016-12-03,15.0,19.0,1.0,8.0,6.0,19.0,4.0,38.0,74.0,23.0
2016-12-04,14.0,21.0,2.0,17.0,8.0,35.0,18.0,76.0,71.0,19.0
2016-12-05,18.0,47.0,5.0,13.0,7.0,16.0,11.0,97.0,35.0,29.0
2016-12-06,20.0,28.0,3.0,23.0,9.0,25.0,12.0,18.0,33.0,26.0
2016-12-07,14.0,22.0,3.0,40.0,8.0,13.0,8.0,163.0,22.0,24.0
2016-12-08,16.0,22.0,3.0,16.0,5.0,19.0,7.0,39.0,100.0,25.0
2016-12-09,14.0,65.0,7.0,17.0,11.0,15.0,15.0,33.0,119.0,32.0
2016-12-10,20.0,27.0,3.0,41.0,8.0,25.0,13.0,23.0,26.0,26.0
2016-12-11,60.0,17.0,9.0,17.0,4.0,135.0,1.0,16.0,59.0,17.0
2016-12-12,22.0,17.0,8.0,8.0,15.0,22.0,8.0,102.0,81.0,32.0
2016-12-13,15.0,13.0,3.0,9.0,5.0,18.0,15.0,22.0,20.0,22.0
2016-12-14,17.0,9.0,210.0,18.0,8.0,12.0,6.0,52.0,31.0,39.0
2016-12-15,19.0,18.0,5.0,12.0,8.0,21.0,10.0,39.0,31.0,62.0
2016-12-16,18.0,22.0,4.0,12.0,6.0,16.0,16.0,125.0,30.0,33.0
2016-12-17,21.0,17.0,6.0,18.0,7.0,52.0,3.0,189.0,59.0,35.0
2016-12-18,21.0,15.0,2.0,13.0,15.0,24.0,9.0,49.0,111.0,24.0
2016-12-19,47.0,22.0,2.0,18.0,4.0,15.0,4.0,55.0,32.0,26.0
2016-12-20,65.0,23.0,4.0,23.0,11.0,28.0,7.0,26.0,34.0,33.0
2016-12-21,17.0,19.0,3.0,10.0,7.0,17.0,7.0,77.0,31.0,38.0
2016-12-22,32.0,17.0,3.0,32.0,48.0,16.0,2.0,64.0,34.0,25.0
2016-12-23,63.0,42.0,1.0,10.0,9.0,27.0,7.0,35.0,105.0,17.0
2016-12-24,15.0,28.0,1.0,26.0,25.0,8.0,33.0,35.0,72.0,22.0
2016-12-25,26.0,15.0,7.0,27.0,13.0,17.0,8.0,28.0,36.0,29.0
2016-12-26,14.0,9.0,4.0,16.0,3.0,32.0,11.0,20.0,33.0,30.0
2016-12-27,20.0,30.0,4.0,11.0,11.0,19.0,4.0,23.0,30.0,29.0
2016-12-28,22.0,52.0,6.0,17.0,27.0,23.0,15.0,32.0,36.0,35.0
2016-12-29,19.0,45.0,3.0,19.0,13.0,17.0,6.0,39.0,38.0,44.0
2016-12-30,18.0,26.0,4.0,10.0,36.0,17.0,8.0,32.0,31.0,26.0
2016-12-31,20.0,20.0,17.0,11.0,10.0,50.0,6.0,17.0,97.0,41.0
